"Story","Title","Result","Date","Stability","Duration (s)"
"Some feature","About Us Close button functionality","SUCCESS","2019-02-26T14:14:44.748+02:00","0.0","5.31"
"Some feature","About Us X button functionality","SUCCESS","2019-02-26T14:14:44.743+02:00","0.0","5.39"
"Some feature","About Us button functionality","SUCCESS","2019-02-26T14:14:44.749+02:00","0.0","5.28"
"Some feature","Blank Company field","SUCCESS","2019-03-22T13:54:53.595+02:00","0.0","11.63"
"Some feature","Blank Confirm Password field","SUCCESS","2019-03-22T13:54:53.510+02:00","0.0","25.7"
"Some feature","Blank Email field","SUCCESS","2019-03-22T13:54:53.598+02:00","0.0","23.24"
"Some feature","Blank Email field","SUCCESS","2019-03-22T13:54:53.599+02:00","0.0","18.91"
"Some feature","Blank Name","SUCCESS","2019-03-21T11:17:36.043+02:00","0.0","10.86"
"Some feature","Blank Name field","SUCCESS","2019-03-22T13:54:53.594+02:00","0.0","10.51"
"Some feature","Contact - Cancel button functionalityZ","SUCCESS","2019-02-26T14:03:15.356+02:00","0.0","7.07"
"Some feature","Contact Elements","SUCCESS","2019-02-26T14:03:15.359+02:00","0.0","4.14"
"Some feature","Contact Form","SUCCESS","2019-02-26T14:03:15.358+02:00","0.0","27.43"
"Some feature","Contact form empty fields","SUCCESS","2019-02-26T14:03:15.360+02:00","0.0","6.72"
"Some feature","Contact form invalid credentials","SUCCESS","2019-02-26T14:03:15.358+02:00","0.0","27.26"
"Some feature","Contact functionality","SUCCESS","2019-02-26T14:03:15.360+02:00","0.0","3.87"
"Some feature","Elements are displayed on the first page","SUCCESS","2019-02-26T14:08:59.826+02:00","0.0","1.7"
"Some feature","Empty field for password","SUCCESS","2019-02-26T14:05:38.745+02:00","0.0","12.86"
"Some feature","Empty field for username","SUCCESS","2019-02-26T14:05:38.742+02:00","0.0","13.37"
"Some feature","Empty field for username and valid credentials for password","SUCCESS","2019-02-26T14:08:44.659+02:00","0.0","10.78"
"Some feature","Empty field for username and valid credentials for password","SUCCESS","2019-02-26T14:08:44.659+02:00","0.0","13.48"
"Some feature","Empty fields login","SUCCESS","2019-02-26T14:05:38.748+02:00","0.0","6.67"
"Some feature","Empty fields login","SUCCESS","2019-03-19T15:08:56.206+02:00","0.0","9.11"
"Some feature","Forgot Password Elements","SUCCESS","2019-03-22T13:55:28.563+02:00","0.0","8.14"
"Some feature","Forgot Password Flow","SUCCESS","2019-03-22T13:55:28.564+02:00","0.0","17.24"
"Some feature","Home Elements","SUCCESS","2019-03-22T13:57:13.811+02:00","0.0","3.67"
"Some feature","Home link functionality","SUCCESS","2019-03-22T13:57:13.810+02:00","0.0","3.35"
"Some feature","Invalid credentials (invalid username and password credentials)","SUCCESS","2019-01-09T17:09:02.443+02:00","0.0","31.92"
"Some feature","Invalid credentials (lowercase credentials for password","SUCCESS","2019-02-26T14:08:44.656+02:00","0.0","15.09"
"Some feature","Invalid credentials (select space to put blank space for username and password )","SUCCESS","2019-02-26T14:08:44.660+02:00","0.0","13.3"
"Some feature","Invalid credentials (special characters for username and password","SUCCESS","2019-02-26T14:08:44.655+02:00","0.0","14.12"
"Some feature","Invalid credentials (uppercase credentials for password","SUCCESS","2019-02-26T14:08:44.657+02:00","0.0","13.5"
"Some feature","Invalid credentials (valid username and password and a blank space)","SUCCESS","2019-02-26T14:08:44.655+02:00","0.0","13.5"
"Some feature","Invalid credentials (valid username and password with a space afterwards)","SUCCESS","2019-02-26T14:05:38.744+02:00","0.0","19.07"
"Some feature","Invalid credentials (valid username and password with a space afterwards)","SUCCESS","2019-02-26T14:05:38.747+02:00","0.0","18.92"
"Some feature","Invalid email - empty field","SUCCESS","2019-03-21T16:09:04.260+02:00","0.0","13.63"
"Some feature","Invalid email - empty field","SUCCESS","2019-03-22T13:56:46.407+02:00","0.0","13.75"
"Some feature","Invalid email - password - digits","SUCCESS","2019-03-21T16:09:04.257+02:00","0.0","17.79"
"Some feature","Invalid email - password - digits","SUCCESS","2019-03-22T13:56:46.405+02:00","0.0","18.12"
"Some feature","Invalid email - password - empty field","SUCCESS","2019-03-21T16:09:04.175+02:00","0.0","7.47"
"Some feature","Invalid email - password - empty field","SUCCESS","2019-03-22T13:56:46.404+02:00","0.0","7.31"
"Some feature","Invalid email - password - specialCharacters","SUCCESS","2019-03-21T16:09:04.259+02:00","0.0","9.72"
"Some feature","Invalid email - password - specialCharacters","SUCCESS","2019-03-22T13:56:46.406+02:00","0.0","7.27"
"Some feature","Invalid password - empty field","SUCCESS","2019-03-21T16:09:04.258+02:00","0.0","13.55"
